论文名,时间,研究对象,解决的问题,创新点,优点,缺点,选用的模型,Dataset,
函数拟合实现带声调的语音合成,2022,"汉语
（四声调）","多数研究忽视语音声调对情感表达的作用，未将其作为考察特征；
基于深度学习的语音合成方法虽有应用，但存在依赖极大容量语料包、过程繁琐且忽略语音音调数理本质问题；
部分从基频轨迹出发的研究，未涉及基频轨迹拟合四种声调在语音合成方面的实际应用","从数学角度分析汉语四种声调特征参数及变换，构建音高和音长变化可控、所需参数少且适应各种发音的声调变换模型用于语音合成；
采用多项式函数拟合方式重构声调，有效还原语音数理本质，使抽象语音更具体、可控；
该方法对语料包要求低，能灵活调整语调，在语音合成、情感分析、语音识别等方面具有参考价值","显著提升语音合成的逼真度与识别准确度，有效弥补传统语音合成的缺陷；
四阶多项式拟合优化效果好，运算量小；","四声声调拟合存在偏差，影响合成语音准确性；
应用局限于汉语，对其他语言和复杂场景研究不足；
模型普适性需在更多发音、说话人及语境下进一步验证",基于函数拟合方法构建全新语音合成模型，从数学层面处理语音声调,,
基于HMM的粤语语音合成系统,2012,"粤语
（9声调）","基于语料库的拼接式语音合成方法难以同时生成高质量和具备多样化语音特征的语音；
由于使用大规模语料库，导致该方法在向对存储要求严格的嵌入式电子设备移植时面临困难","将基于 HMM 的语音合成方法应用于粤语语音合成；
系统合成引擎占用空间小，小于 7M 字节；
通过修改合成声学参数可灵活调整合成语音质量","与基于语料库的单元选择拼接式相比，合成语音自然度有显著提升，频谱图过渡更平滑；
合成引擎占用空间小，便于移植，适用于嵌入式设备","合成的语音存在类似声码器处理后的模糊感；
合成语音在语音质量方面，可能无法完全达到一些高质量语料库拼接合成的效果",基于HMM模型,,
基于隐马尔可夫模型和鲁棒声调音素语料库的台湾语音合成系统开发,2024.6,闽南语（台湾7声调）,"台湾语年轻流利使用者数量减少，面临传承危机；
针对台湾语缺乏专门设计的鲁棒声调音素语料库，难以准确体现台湾语的语音特点；
传统基于语料库的语音合成系统存在合成语音音节连接不连续、占用空间大、计算时间长等问题","分析 MLT（现代台湾文，将台湾闽南语口语转换为拉丁字母书写） 子音节，结合台湾语语音和音系特点建立声调音素模型，设计算法训练平衡语料库，并补充罕见音素句子，使语料库更具鲁棒性；
运用 HMM 和设计的语料库构建台湾语 TTS 系统","合成语音自然度良好，平均意见得分（MOS）为 4；
相比传统语料库的语音合成系统，该系统包括用户界面和合成参数训练文件在内，占用存储空间不超过 4MB；","平衡语料库对可能的音素序列覆盖不足，仅约 65%，后续需手动补充句子来增加覆盖度；
论文仅对合成语音进行了主观的 MOS 评估，缺乏客观的量化评估指标",基于HMM模型,,
使用深度神经网络学习和建模单元嵌入，用于基于单元选择的普通话合成,2020.1,普通话,统计参数语音合成（SPSS）存在声学参数预测不准确、使用声码器导致语音质量下降等问题；单元选择与波形拼接方法中，传统基于帧级声学特征的建模难以有效衡量连续单元间的长期依赖关系；；已有研究在学习单元嵌入时，存在依赖上下文或声学特征作为输入、未充分挖掘单元声学和语言信息,提出用深度神经网络（DNN）学习单元嵌入向量，构建 Unit2Vec 模型从头开始学习语料库中所有候选单元的嵌入向量；设计多目标学习策略，让 Unit2Vec 模型的预测目标包含帧级声学特征、单元时长、单音素和声调标识符以及上下文类别;构建两个 DNN 分别用于计算目标成本和连接成本，其中一个 DNN 利用前面音素的单元向量和当前音素语言特征作为输入,有效提升基于 HMM 的单元选择语音合成的自然度;多目标学习单元嵌入的方式优于仅使用声学目标，如 U2V-ADC 模型综合性能较好，在上下文类精度等方面表现突出,所有单元选择系统在声学特征预测上的失真均大于基于 HMM 的参数合成，这是由于单元选择仅能使用离散的候选单元，限制了声学特征的精准度；,Unit2Vec 模型;Unit2Vec 模型学习的单元嵌入向量为基于 HMM 的单元选择提供了更有效的特征表示,,
基于小语料库的自然语音合成候选扩展与韵律调整,2016.6,普通话,传统单元选择方法依赖大语料库；HMM-based 方法自然度不足：传统 HMM 方法因参数高度平均化，生成语音自然度欠缺。即便结合单元选择与 HMM 优势，小语料库仍存在单元匹配少、韵律不连续问题，且传统方法未充分考虑韵律词（PW）层级的语音特性。,"候选扩展（Candidate Expansion, CE）机制；两级单元选择（音素与韵律词级别）；韵律词级韵律调整",1. 小语料库高效利用：通过 CE 机制从有限语料中挖掘潜在单元，减少对大语料库的依赖。韵律自然度提升：PW 级韵律调整确保音高和能量轨迹连续，主观 MOS 测试中自然度接近或超过 HMM 方法。3. 客观指标优势：平均梅尔倒谱距离（MCD）、音高 RMSE 等指标优于传统单元选择和 HMM 方法，能量稳定性（EV）更接近自然语音。,计算复杂度较高：CE 和两级选择需额外的特征提取与聚类计算，虽经候选过滤优化，但仍高于传统 HMM 方法。2. 模型复杂度增加：需训练 AF 检测器、HMM 模型及韵律分类树，参数调优难度较大。,HMM ,TsingHua-Corpus of Speech Synthesis（TH-CoSS）；由一位女性说话者（speaker FR00）录制的训练集包含 5406 条话语，测试集包含 959 条话语 。,
基于智能语音系统的声调研究,2019,上海话、藏语拉萨话（卫藏方言）,濒危声调语言研究滞后；传统声调分析方法局限；声调与语言要素关联模糊；语音合成与声调研究脱节,提出 “语音合成系统驱动声调研究” 的方法论；上海话声调调形规整方案；上海话声调调形规整方案；藏语拉萨话声调对立环境挖掘；人机耦合的研究模式,方法论创新；实践价值显著；贴合实际发音规律,#NULL!,传统统计参数语音合成系统HMM（非端到端）,提及到上海话是5声调、拉萨话4声调,在端到端合成路线中，合成错误很难得到追踪和修改，同时对于一些资源不足或分词歧义、文本和语音同形异音现象复杂的语言，难以合成理想的效果
"Analysis and Prediction of Myanmar Prosodic Unit Boundary
缅甸语韵律单位边界的分析与预测",2020.12,缅甸语（4声调）,缅甸语语音合成自然度不足；韵律单元边界标注效率与一致性问题；无依赖语音的韵律边界预测难题；韵律特征与语音合成结合不足,提出自动韵律单元边界标注方法；深入分析缅甸语韵律特征规律；采用 BiLSTM - CRF 模型实现文本驱动的韵律边界预测；构建 “韵律分析 - 标注 - 预测 - 合成评估” 完整链路,方法实用性强；研究基础扎实；效果可验证；模型适应性好,自动标注准确率有待提升；预测模型性能不均衡；数据集局限性；韵律特征考虑不全面,"CRF（条件随机场）模型；HMM（隐马尔可夫模型）；BiLSTM - CRF（双向长短期记忆 - 条件随机场）模型；K - means 聚类模型
",,
"Automatic Labeling of Tibetan Prosodic Boundary Based on Speech Synthesis Tasks
基于语音合成任务的藏语韵律边界自动标注",2023.12,藏语,传统藏语韵律标注成本高，标注结果差异；有藏语韵律边界标注方法多停留在人工标注和理论研究层面；藏语合成语音自然度不足,融合多特征的标注方法；针对藏语特性的规则设计；验证了方法的有效性与可行性,准确性较高；贴合藏语特性；实用性强；,模型层面局限；数据集开放性未知；方言覆盖不足,基于规则驱动的方法，结合藏语文本特征与声学特征实现自动标注,,
"F0 parameterization of glottalized tones for HMM-based Vietnamese TTS
基于HMM的越南语TTS中喉化声调的F0参数化",2015.9,河内越南语,常规 F0 提取器在声门化语音中的性能缺陷；HMM-based TTS 系统的嘶哑音质问题；现有解决方案的局限性,提出 “基音标记传播” 的 F0 优化思路；灵活兼容任意 F0 提取器；结合先验知识与数据驱动的搜索策略；首次针对性优化河内越南语声门化声调的 F0 参数化,显著改善合成语音质量；兼容性强且实现简洁；兼顾 F0 完整性与准确性,无法完全避免有声插入错误（VIEs）；依赖声门化声调的先验知识；参数调优依赖开发集,TTS 核心模型：HMM-based TTS（基于 HTS toolkit）、F0 提取模型：RAPT,,
基于语料库的藏语语音合成单元选择算法,2017.9,藏语,传统藏语合成单元选择的二元矛盾；语料库规模与系统效率的平衡；藏语文本层级与语音单元的适配,提出五级混合单元体系；设计大单元优先的选择算法；验证混合单元的有效性,贴合藏语语言特性，平衡完整性与灵活性；算法可操作性强，降低语料库成本；,方言适配性有限；单元选择参数依赖经验；未解决小单元拼接平滑问题；语料规模与多样性不足,基于语料库的单元选择拼接模型,,
"Myanmar text-to-speech system with rule-based tone synthesis
基于规则的声调合成的缅甸文字转语音系统",2011,标准缅甸语,缅甸语 TTS 系统空白；缅甸语声调合成的特殊性难题；传统合成方法适配性差,提出 (F_0+ 时长” 双参数声调规则；设计针对性归一化方法；构建首个规则基缅甸语 TTS 系统；验证线性模式的有效性,声调合成准确性高；系统架构简洁且可复现；适配缅甸语独特特性,合成单元局限性；规则依赖人工设计；未处理连续语音韵律；数据集规模小且单一,规则基源 - 滤波器模型,,
"Vietnamese Text-To-Speech system with precise tone generation
具有精确声调生成功能的越南语文本转语音系统",2004,越南语,多声调精准合成困难，尤其是折声与坠声；缺乏针对越南语的规则驱动合成框架；合成单元与模型适配性差,提出 “F?轮廓 + 功率控制” 的双机制声调合成方案；以 “平声半音节” 为核心合成单元，优化数据库效率；适配越南语的文本分析与合成规则；采用 LMA 滤波器构建高精度声道模型,声调合成准确性高；数据库效率高；语言适配性强；可解释性强,功能局限；自然度不足；依赖人工设计；,基于源 - 滤波器的规则驱动 TTS 框架,,
